"","X","Symbol","Name","Sector","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA.x","Price.Sales","Price.Book","SEC.Filings","Debt","Rev_Growth","EBITDA.y","Leverage","Beta"
"242",244,"JEC","Jacobs Engineering Group","Industrials",62.82,19.5,0.91,2.43,72.18,49.31,9326484316,409832000,1.2129636,2.01,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC",2146.88,49.24,409832000,5.24,1.13975928474321
"243",245,"JNJ","Johnson & Johnson","Health Care",126.36,17.3,2.56,0.39,148.32,113.15,3.53062e+11,2.24e+10,4.6326222,4.74,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ",29480,9.44,2.24e+10,1.31,0.680159796972641
"244",246,"JNPR","Juniper Networks","Information Technology",24.66,14.1,1.58,0.78,30.96,23.87,9267350000,1115500000,1.8543326,1.78,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR",1788.6,-9.03,1115500000,1.6,1.05796647055291
"245",247,"JPM","JPMorgan Chase & Co.","Financials",107.88,15.4,1.98,6.3,117.3529,81.635,3.86614e+11,0,3.3714993,1.6,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM",282031,15.24,0,Inf,0.876181322457408
"246",248,"JWN","Nordstrom","Consumer Discretionary",47.23,15,3,2.02,53,37.7924,8212509855,1.45e+09,0.74603415,9.1,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JWN",2678,6.54,1.45e+09,1.85,0.83096976360241
"247",249,"K","Kellogg Co.","Consumer Staples",65.98,16.5,3.36,1.95,76.69,58.76,22182794875,1.83e+09,2.3173764,11.5,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=K",8715,5.3,1.83e+09,4.77,0.429526010340202
"248",250,"KEY","KeyCorp","Financials",20.08,14.7,1.99,1.12,22.22,16.28,22589744920,0,3.270451,1.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEY",13732,8.11,0,Inf,0.959835002916965
"249",251,"KHC","Kraft Heinz Co","Consumer Staples",71.58,20.1,3.4,2.81,97.77,72.05,89618309338,7.83e+09,4.6780853,1.54,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KHC",30998,0.56,7.83e+09,3.96,0.558794832229374
"250",252,"KIM","Kimco Realty","Real Estate",14.01,9.3,7.71,0.8,25.15,14.33,6180487499,701190000,7.0508943,1.2,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM",4887.47,-1.12,701190000,6.97,0.790993792378039
"251",253,"KLAC","KLA-Tencor Corp.","Information Technology",98.54,16.6,2.3,5.88,121.65,86.33,16078622033,1506642000,4.3395863,12.93,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC",2237.89,12.48,1506642000,1.49,1.44277303106231
"252",254,"KMB","Kimberly-Clark","Consumer Staples",111.69,17.9,3.56,6.41,136.21,109.67,39449596000,4.03e+09,2.1947837,151.66,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB",5739,1.15,4.03e+09,1.42,0.401508219019272
"253",255,"KMI","Kinder Morgan","Energy",16.8,25.1,2.89,0.01,22.75,16.56,38612712234,5.98e+09,2.823936,1.07,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI",33936,3.2,5.98e+09,5.67,0.940530173509873
"254",256,"KMX","Carmax Inc","Consumer Discretionary",64.34,19.4,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859,3.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX",13494.18,5.37,1339628000,10.07,0.775255553766271
"255",257,"KO","Coca-Cola Company (The)","Consumer Staples",43.1,22.8,3.32,1.49,48.615,40.22,1.89855e+11,8.59e+09,6.822138,8.65,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO",25523,-13.39,8.59e+09,2.97,0.372670573739266
"256",258,"KR","Kroger Co.","Consumer Staples",27.57,13.1,1.73,2.05,34.75,19.69,25471355847,5.34e+09,0.27961263,4.02,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR",11647,4.08,5.34e+09,2.18,0.611592165400918
"257",259,"KSS","Kohl's Corp.","Consumer Discretionary",60.34,16,3.5,3.12,69.14,35.16,10570861198,2.29e+09,0.8557757,2.04,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSS",3800,4.94,2.29e+09,1.66,1.24401372355664
"258",260,"KSU","Kansas City Southern","Industrials",103.53,19.8,1.34,9.16,114.85,81.54,11037040988,1295400000,4.281897,2.39,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU",2680.7,5.08,1295400000,2.07,1.02428498766817
"259",261,"L","Loews Corp.","Financials",46.05,16,4.51,1.93,53.59,45.01,16111166935,0,1.5809761,0.85,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L",11311,5.58,0,Inf,0.826025250113029
"260",262,"LB","L Brands Inc.","Consumer Discretionary",47.77,12.8,4.89,3.98,63.1,35,13862042842,2.33e+09,1.7060977,1403.38,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LB",5814,7.4,2.33e+09,2.5,1.45369518733185
"261",263,"LEG","Leggett & Platt","Consumer Discretionary",43.99,17.9,3.15,2.76,54.97,42,6034600480,4.47e+08,2.0302901,4.89,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEG",1353.2,8.91,4.47e+08,3.03,0.875611461651834
"262",264,"LEN","Lennar Corp.","Consumer Discretionary",59.11,15.4,0.26,3.38,72.17,43.647053,14615967194,1405319000,1.1468264,1.76,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEN",9553,62.67,1405319000,6.8,0.780367206510498
"263",265,"LH","Laboratory Corp. of America Holding","Health Care",165.46,17.8,0,7.02,181.715,130.292,17271388000,1861200000,2.2459624,2.71,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LH",6044.6,13.52,1861200000,3.25,0.777452972283286
"264",266,"LKQ","LKQ Corporation","Consumer Discretionary",38.86,21.4,0,1.5,43.8599,27.85,12469931896,1065614000,1.723609,3.02,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LKQ",4250.14,20.45,1065614000,3.99,0.831713500344185
"265",267,"LLL","L-3 Communications Holdings","Industrials",198.79,23.1,1.44,8.51,218.705,159.43,16229343134,1.14e+09,1.4884604,3.12,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLL",3358,0.59,1.14e+09,2.95,0.692292834151553
"266",268,"LLY","Lilly (Eli) & Co.","Health Care",74.21,17.3,2.93,-0.2,89.09,75.71,84475986228,3459800000,3.754678,5.73,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY",11674.7,8.04,3459800000,3.37,0.610778773107573
"267",269,"LMT","Lockheed Martin Corp.","Industrials",334.3,24.3,2.32,6.83,361.79,256.4,98102120000,7.12e+09,1.8781451,45.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT",13486,9.26,7.12e+09,1.9,0.856515761322955
"268",270,"LNC","Lincoln National","Financials",73.86,9.5,1.68,9.24,86.68,61.45,17123031000,0,1.201944,1.04,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNC",5804,12.85,0,Inf,1.04727180449875
"269",271,"LNT","Alliant Energy Corp","Utilities",37.14,19.9,3.57,1.65,45.55,36.84,8670163500,1168400000,3.4331481,2.13,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT",5248.2,5.84,1168400000,4.49,0.33419129113729
